,Postcode district,Local Areas,Borough
0,BR1,"Bromley, Bickley, Downham",Bromley
1,BR2,"Bickley, Hayes, Bromley Common, Shortlands",Bromley
2,BR3,"Beckenham, Eden Park, Elmers End, Park Langley, Shortlands",Bromley
3,BR4,West Wickham,Bromley
4,BR5,"Orpington, St Mary Cray, Petts Wood",Bromley
5,BR6,"Orpington, Farnborough, Downe, Pratt's Bottom, Chelsfield, Well Hill",Bromley
6,BR7,"Chislehurst, Elmstead",Bromley
7,BR8,Swanley,Sevenoaks
8,CR0,"Croydon, Addiscombe, Shirley, Addington, New Addington, Forestdale, Waddon",Croydon
9,CR2,"South Croydon, Sanderstead, Selsdon, Addington",Croydon
10,CR3,"Caterham, Whyteleafe, Chaldon, Woldingham",Croydon
11,CR4,"Mitcham, Beddington Corner",Merton
12,CR5,"Coulsdon, Chipstead, Woodmansterne",Croydon
13,CR6,"Warlingham, Chelsham, Farleigh",Croydon
14,CR7,Thornton Heath,Croydon
15,CR8,"Purley, Kenley",Croydon
16,CR9,Non-geographic,Croydon
17,DA1,"Dartford, Crayford, Barnes Cray",Dartford
18,DA14,"Sidcup, Foots Cray, Albany Park, Longlands",Bexley
19,DA15,"Sidcup, Blackfen, Longlands, Lamorbey, Avery Hill",Bexley
20,DA16,"Welling, Falconwood, East Wickham",Bexley
21,DA17,"Belvedere, Lessness Heath",Bexley
22,DA18,"Erith Marshes, Thamesmead",Bexley
23,DA5,"Bexley, Albany Park, Joydens Wood",Bexley
24,DA6,"Bexleyheath, Upton",Bexley
25,DA7,"Bexleyheath, Barnehurst",Bexley
26,DA8,"Erith, Northumberland Heath, Slade Green",Bexley
27,E1,"Aldgate, Bishopsgate, Whitechapel, Shoreditch, Spitalfields, Shadwell, Stepney, Mile End, Portsoken",Tower Hamlets
28,E10,"Leyton, Temple Mills, Hackney Marshes, Upper Clapton, Walthamstow Marshes",Hackney
29,E11,"Leytonstone, Wanstead, Aldersbrook, Snaresbrook, Cann Hall",Waltham Forest
30,E12,"Manor Park, Little Ilford, Aldersbrook",Newham
31,E13,"Plaistow, West Ham, Upton Park",Newham
32,E14,"Poplar, Isle of Dogs, Limehouse, Canary Wharf, Blackwall, Cubitt Town",Tower Hamlets
33,E15,"Stratford, West Ham, Maryland, Leyton, Leytonstone, Temple Mills, Hackney Wick, Bow",Newham
34,E16,"Silvertown, North Woolwich, Canning Town, Custom House, London City Airport",Newham
35,E17,"Walthamstow, Upper Walthamstow",Waltham Forest
36,E18,"Woodford, South Woodford",Redbridge
37,E1W,Wapping,Tower Hamlets
38,E2,"Bethnal Green, Haggerston, Shoreditch, Cambridge Heath",Tower Hamlets
39,E20,"Olympic Park, Stratford",Newham
40,E3,"Bow, Bromley-by-Bow, Old Ford, Mile End, Three Mills, London Gas Museum",Tower Hamlets
41,E4,"Chingford, Sewardstone, Highams Park",Waltham Forest
42,E5,"Upper Clapton, Lower Clapton, Leyton, Stoke Newington",Hackney
43,E6,"East Ham, Beckton, Upton Park, Barking",Newham
44,E7,"Forest Gate, Stratford",Newham
45,E8,"Hackney Central, Dalston, London Fields",Hackney
46,E9,"Homerton, Hackney Wick, South Hackney, Hackney Marshes, Victoria Park",Hackney
47,EC1M,"Clerkenwell, Farringdon",Islington
48,EC1N,Hatton Garden,Camden
49,EC1R,"Finsbury, Finsbury Estate",Islington
50,EC1V,"Finsbury, Moorfields Eye Hospital",Islington
51,EC1Y,"St Luke's, Bunhill Fields",Islington
52,EC2A,Shoreditch,Hackney
53,EC2Y,Barbican,City of London
54,EC3N,"Tower Hill, Tower of London",Tower Hamlets
55,EN1,"Bush Hill Park, Bulls Cross, Enfield Town, Forty Hill",Enfield
56,EN2,"Botany Bay, Clay Hill, Crews Hill, Bulls Cross, Enfield Chase, Enfield Town, Forty Hill",Enfield
57,EN3,"Enfield Highway, Enfield Island Village, Enfield Lock, Enfield Wash, Ponders End",Enfield
58,EN4,"Hadley Wood, Cockfosters, East Barnet, New Barnet",Enfield
59,EN5,"High Barnet, Arkley",Barnet
60,EN8,"Waltham Cross, Cheshunt",Enfield
61,HA0,"Alperton, Sudbury, Sudbury Hill, Wembley Central, North Wembley",Harrow
62,HA1,"Harrow, North Harrow, Northwick Park",Harrow
63,HA2,"North Harrow, South Harrow",Harrow
64,HA3,"Harrow Weald, Kenton, Wealdstone",Harrow
65,HA4,Ruislip,Hillingdon
66,HA5,"Pinner, Eastcote, Hatch End, Carpenders Park",Harrow
67,HA6,"Northwood, Moor Park, Sandy Lodge",Hillingdon
68,HA7,Stanmore,Harrow
69,HA8,Edgware,Harrow
70,HA9,"Wembley, Wembley Park, Wembley Central, Preston, Tokyngton",Brent
71,IG1,Ilford,Redbridge
72,IG11,Barking,Barking and Dagenham
73,IG2,"Gants Hill, Newbury Park",Redbridge
74,IG3,Seven Kings,Redbridge
75,IG4,Redbridge,Redbridge
76,IG5,Clayhall,Redbridge
77,IG6,"Barkingside, Hainault",Redbridge
78,IG7,Chigwell,Epping Forest
79,IG8,"Woodford Green, Woodford Bridge",Redbridge
80,IG9,Buckhurst Hill,Epping Forest
81,KT1,"Kingston upon Thames, Hampton Wick",Kingston upon Thames
82,KT17,"Stoneleigh, East Ewell, Epsom",Epsom and Ewell
83,KT19,"Horton, West Ewell, Stoneleigh",Epsom and Ewell
84,KT2,"Kingston upon Thames, Norbiton",Kingston upon Thames
85,KT3,New Malden,Kingston upon Thames
86,KT4,Worcester Park,Sutton
87,KT5,"Berrylands, Tolworth",Kingston upon Thames
88,KT6,"Surbiton, Tolworth, Long Ditton",Kingston upon Thames
89,KT8,"West Molesey, East Molesey, Hampton Court Palace, Bushy Park",Elmbridge
90,KT9,"Chessington, Hook, Malden Rushett",Kingston upon Thames
91,N1,"Barnsbury, Canonbury, Kings Cross, Islington, Pentonville, De Beauvoir Town, Hoxton",Hackney
92,N10,Muswell Hill,Haringey
93,N11,"New Southgate, Friern Barnet, Bounds Green, Arnos Grove",Enfield
94,N12,"North Finchley, Woodside Park",Barnet
95,N13,Palmers Green,Enfield
96,N14,"Southgate, Oakwood, Arnos Grove",Enfield
97,N15,"West Green, Seven Sisters, Duckett's Green",Haringey
98,N16,"Stoke Newington, Stamford Hill, Shacklewell, Dalston, Newington Green",Hackney
99,N17,"Tottenham, South Tottenham",Haringey
100,N18,"Upper Edmonton, Edmonton",Enfield
101,N19,"Upper Holloway, Archway, Tufnell Park, Hornsey",Islington
102,N1C,Kings Cross,Camden
103,N2,"East Finchley, Fortis Green, Hampstead Garden Suburb",Barnet
104,N20,"Whetstone, Totteridge, Oakleigh Park",Barnet
105,N21,"Winchmore Hill, Bush Hill, Grange Park",Enfield
106,N22,"Wood Green, Bounds Green, Bowes Park",Haringey
107,N3,"Finchley, Church End, Finchley Central",Barnet
108,N4,"Finsbury Park, Manor House, Harringay, Stroud Green",Haringey
109,N5,"Highbury, Highbury Fields",Islington
