,index,Result_id,Transaction_type,Bedroom,Bathroom,Property_type,Price,Location,Agent,Listing_url,postcode,Borough,Date
0,0,listing_64732218,Sale,2,1,2 bed flat for sale,"£325,000","Firs Lane, London N13",Peter Graff,https://www.zoopla.co.uk/for-sale/details/64732218/?search_identifier=840ca3b9ddc371a2ef2f5d65e8e5ee6e5a7ce0625f14503221362ff6df1f75d7,N13,Enfield,2023-05-28
1,1,listing_64731660,Sale,3,1,3 bed flat for sale,"£325,000","Green Lanes, London N13",Kings Group - Enfield Town,https://www.zoopla.co.uk/for-sale/details/64731660/?search_identifier=840ca3b9ddc371a2ef2f5d65e8e5ee6e5a7ce0625f14503221362ff6df1f75d7,N13,Enfield,2023-05-28
2,2,listing_64728189,Sale,2,1,2 bed flat for sale,"£325,000","Park Avenue, London N13",Winkworth - Palmers Green,https://www.zoopla.co.uk/for-sale/details/64728189/?search_identifier=840ca3b9ddc371a2ef2f5d65e8e5ee6e5a7ce0625f14503221362ff6df1f75d7,N13,Enfield,2023-05-28
3,3,listing_64728005,Sale,5,2,5 bed detached house for sale,"£325,000","Amberley Road, London N13",Element Properties & Co,https://www.zoopla.co.uk/for-sale/details/64728005/?search_identifier=840ca3b9ddc371a2ef2f5d65e8e5ee6e5a7ce0625f14503221362ff6df1f75d7,N13,Enfield,2023-05-28
4,4,listing_64725785,Sale,1,1,1 bed flat for sale,"£325,000","Hedge Lane, Palmers Green, London N13",Capital Homes,https://www.zoopla.co.uk/for-sale/details/64725785/?search_identifier=840ca3b9ddc371a2ef2f5d65e8e5ee6e5a7ce0625f14503221362ff6df1f75d7,N13,Enfield,2023-05-28
5,5,listing_64725451,Sale,4,1,4 bed terraced house for sale,"£325,000","Chimes Avenue, London N13",Capital Homes,https://www.zoopla.co.uk/for-sale/details/64725451/?search_identifier=840ca3b9ddc371a2ef2f5d65e8e5ee6e5a7ce0625f14503221362ff6df1f75d7,N13,Enfield,2023-05-28
6,6,listing_64717615,Sale,2,1,2 bed flat for sale,"£325,000","Kingsley Road, London N13",Winkworth - Palmers Green,https://www.zoopla.co.uk/for-sale/details/64717615/?search_identifier=840ca3b9ddc371a2ef2f5d65e8e5ee6e5a7ce0625f14503221362ff6df1f75d7,N13,Enfield,2023-05-28
7,7,listing_64706265,Sale,3,2,3 bed detached house for sale,"£325,000","Firs Lane, Palmers Green, London N13",Anthony Webb,https://www.zoopla.co.uk/for-sale/details/64706265/?search_identifier=840ca3b9ddc371a2ef2f5d65e8e5ee6e5a7ce0625f14503221362ff6df1f75d7,N13,Enfield,2023-05-28
8,8,listing_64701598,Sale,2,2,2 bed flat for sale,"£325,000","Ruby Mews, London N13",Castles - Palmers Green,https://www.zoopla.co.uk/for-sale/details/64701598/?search_identifier=840ca3b9ddc371a2ef2f5d65e8e5ee6e5a7ce0625f14503221362ff6df1f75d7,N13,Enfield,2023-05-28
9,9,listing_64694329,Sale,4,2,4 bed property for sale,"£325,000","Hawthorn Avenue, London N13",Michael Wright Estate Agents,https://www.zoopla.co.uk/for-sale/details/64694329/?search_identifier=840ca3b9ddc371a2ef2f5d65e8e5ee6e5a7ce0625f14503221362ff6df1f75d7,N13,Enfield,2023-05-28
10,10,listing_64690393,Sale,2,2,2 bed flat for sale,"£325,000","Bayswater Close, London N13",Anthony Webb,https://www.zoopla.co.uk/for-sale/details/64690393/?search_identifier=840ca3b9ddc371a2ef2f5d65e8e5ee6e5a7ce0625f14503221362ff6df1f75d7,N13,Enfield,2023-05-28
11,11,listing_64689085,Sale,4,2,4 bed end terrace house for sale,"£325,000","Lodge Drive, Palmers Green N13",Havilands,https://www.zoopla.co.uk/for-sale/details/64689085/?search_identifier=840ca3b9ddc371a2ef2f5d65e8e5ee6e5a7ce0625f14503221362ff6df1f75d7,N13,Enfield,2023-05-28
12,12,listing_64688974,Sale,3,1,3 bed terraced house for sale,"£325,000","Princes Avenue, London N13",Stonehouse Estates,https://www.zoopla.co.uk/for-sale/details/64688974/?search_identifier=840ca3b9ddc371a2ef2f5d65e8e5ee6e5a7ce0625f14503221362ff6df1f75d7,N13,Enfield,2023-05-28
13,13,listing_64686463,Sale,5,2,5 bed semi-detached house for sale,"£325,000","Broomfield Lane, London N13",Winkworth - Palmers Green,https://www.zoopla.co.uk/for-sale/details/64686463/?search_identifier=840ca3b9ddc371a2ef2f5d65e8e5ee6e5a7ce0625f14503221362ff6df1f75d7,N13,Enfield,2023-05-28
14,14,listing_64685694,Sale,2,1,2 bed property for sale,"£325,000","Princes Avenue, London N13",Knights Residential - Edmonton,https://www.zoopla.co.uk/for-sale/details/64685694/?search_identifier=840ca3b9ddc371a2ef2f5d65e8e5ee6e5a7ce0625f14503221362ff6df1f75d7,N13,Enfield,2023-05-28
15,15,listing_64685657,Sale,3,2,3 bed terraced house for sale,"£325,000","Melbourne Avenue, London N13",Ellis & Co - Bounds Green,https://www.zoopla.co.uk/for-sale/details/64685657/?search_identifier=840ca3b9ddc371a2ef2f5d65e8e5ee6e5a7ce0625f14503221362ff6df1f75d7,N13,Enfield,2023-05-28
16,16,listing_60119682,Sale,3,1,3 bed terraced house for sale,"£325,000","Ecclesbourne Gardens, Palmers Green, London N13",Anthony Pepe Palmers Green,https://www.zoopla.co.uk/for-sale/details/60119682/?search_identifier=840ca3b9ddc371a2ef2f5d65e8e5ee6e5a7ce0625f14503221362ff6df1f75d7,N13,Enfield,2023-05-28
17,17,listing_64678435,Sale,2,1,2 bed flat for sale,"£325,000","Derwent Road, London N13",Peter Barry Estate Agents,https://www.zoopla.co.uk/for-sale/details/64678435/?search_identifier=840ca3b9ddc371a2ef2f5d65e8e5ee6e5a7ce0625f14503221362ff6df1f75d7,N13,Enfield,2023-05-28
18,18,listing_64676670,Sale,4,2,4 bed semi-detached house for sale,"£325,000","Derwent Road, London N13",Winkworth - Palmers Green,https://www.zoopla.co.uk/for-sale/details/64676670/?search_identifier=840ca3b9ddc371a2ef2f5d65e8e5ee6e5a7ce0625f14503221362ff6df1f75d7,N13,Enfield,2023-05-28
19,19,listing_64675528,Sale,3,1,3 bed semi-detached house for sale,"£325,000","Cranford Avenue, Palmers Green N13",Anthony Webb,https://www.zoopla.co.uk/for-sale/details/64675528/?search_identifier=840ca3b9ddc371a2ef2f5d65e8e5ee6e5a7ce0625f14503221362ff6df1f75d7,N13,Enfield,2023-05-28
20,20,listing_61703746,Sale,2,1,2 bed flat for sale,"£325,000","Cranley Gardens, London N13",Two Six Homes,https://www.zoopla.co.uk/for-sale/details/61703746/?search_identifier=840ca3b9ddc371a2ef2f5d65e8e5ee6e5a7ce0625f14503221362ff6df1f75d7,N13,Enfield,2023-05-28
21,21,listing_64672609,Sale,5,1,5 bed semi-detached house for sale,"£325,000","Broomfield Lane, London N13",Winkworth - Palmers Green,https://www.zoopla.co.uk/for-sale/details/64672609/?search_identifier=840ca3b9ddc371a2ef2f5d65e8e5ee6e5a7ce0625f14503221362ff6df1f75d7,N13,Enfield,2023-05-28
