,index,Result_id,Transaction_type,Bedroom,Bathroom,Property_type,Price,Location,Agent,Listing_url,postcode,Borough,Date
0,0,listing_64729559,Sale,3,2,3 bed town house for sale,"£525,000","Spencer Road, Bromley BR1",Proctors - Bromley,https://www.zoopla.co.uk/for-sale/details/64729559/?search_identifier=9e8656ea15397ce789e5fe04f4239450fc00994d5991be60f5a65d9aa7739451,BR1,Bromley,2023-05-27
1,1,listing_64725613,Sale,2,2,3 bed town house for sale,"£525,000","Rodway Road, Bromley BR1",Langford Russell - Bromley,https://www.zoopla.co.uk/for-sale/details/64725613/?search_identifier=9e8656ea15397ce789e5fe04f4239450fc00994d5991be60f5a65d9aa7739451,BR1,Bromley,2023-05-27
2,2,listing_64724547,Sale,3,1,3 bed town house for sale,"£525,000","Rangefield Road, Downham, Bromley BR1",BR Estate Agent,https://www.zoopla.co.uk/for-sale/details/64724547/?search_identifier=9e8656ea15397ce789e5fe04f4239450fc00994d5991be60f5a65d9aa7739451,BR1,Bromley,2023-05-27
3,3,listing_64722644,Sale,3,1,3 bed town house for sale,"£525,000","Sandringham Road, Bromley BR1",Alan De Maid - Bromley,https://www.zoopla.co.uk/for-sale/details/64722644/?search_identifier=9e8656ea15397ce789e5fe04f4239450fc00994d5991be60f5a65d9aa7739451,BR1,Bromley,2023-05-27
4,4,listing_64716817,Sale,4,2,3 bed town house for sale,"£525,000","Lytchet Road, Sundridge Park, Bromley BR1",Maguire Baylis,https://www.zoopla.co.uk/for-sale/details/64716817/?search_identifier=9e8656ea15397ce789e5fe04f4239450fc00994d5991be60f5a65d9aa7739451,BR1,Bromley,2023-05-27
5,5,listing_64712596,Sale,3,2,3 bed town house for sale,"£525,000","Calmont Road, Bromley, Kent BR1",The Property Cloud,https://www.zoopla.co.uk/for-sale/details/64712596/?search_identifier=9e8656ea15397ce789e5fe04f4239450fc00994d5991be60f5a65d9aa7739451,BR1,Bromley,2023-05-27
6,6,listing_64708582,Sale,4,1,3 bed town house for sale,"£525,000","Amesbury Road, Bromley BR1",Bromley Property Company,https://www.zoopla.co.uk/for-sale/details/64708582/?search_identifier=9e8656ea15397ce789e5fe04f4239450fc00994d5991be60f5a65d9aa7739451,BR1,Bromley,2023-05-27
7,7,listing_64704702,Sale,3,2,3 bed town house for sale,"£525,000","Lake Avenue, Bromley BR1",Alan De Maid - Bromley,https://www.zoopla.co.uk/for-sale/details/64704702/?search_identifier=9e8656ea15397ce789e5fe04f4239450fc00994d5991be60f5a65d9aa7739451,BR1,Bromley,2023-05-27
8,8,listing_64704637,Sale,2,1,3 bed town house for sale,"£525,000","Rangefield Road, Bromley BR1",Alan De Maid - Bromley,https://www.zoopla.co.uk/for-sale/details/64704637/?search_identifier=9e8656ea15397ce789e5fe04f4239450fc00994d5991be60f5a65d9aa7739451,BR1,Bromley,2023-05-27
9,9,listing_64703679,Sale,5,3,3 bed town house for sale,"£525,000","Woodlands Road, Bickley, Bromley BR1",Pullen Estate Agents,https://www.zoopla.co.uk/for-sale/details/64703679/?search_identifier=9e8656ea15397ce789e5fe04f4239450fc00994d5991be60f5a65d9aa7739451,BR1,Bromley,2023-05-27
10,10,listing_64702177,Sale,3,2,3 bed town house for sale,"£525,000","Powster Road, Bromley BR1",BR Estate Agent,https://www.zoopla.co.uk/for-sale/details/64702177/?search_identifier=9e8656ea15397ce789e5fe04f4239450fc00994d5991be60f5a65d9aa7739451,BR1,Bromley,2023-05-27
